qid,query,retrieval_gt,generation_gt,data_type,metadata
e08b65b6-ce75-4f62-a7c4-716c9d58b4b0,울산시가 지원하는 울산창업 A 시리즈의 지원 예산은 얼마인가요?,"[array(['31'], dtype=object)]","['울산시가 지원하는 울산창업 A 시리즈의 지원 예산은 2억원입니다. 이-budget는 울산시에서 제공하며, 총 예산 5억원 중 2억원으로 구성되어 있습니다.'
 '5억원']",business,{'dummy': None}
eab5d4ed-6461-408b-9d48-cff63fa73b66,경북 구미 방산혁신클러스터가 지원하는 예비창업자의 기간은 얼마인가요?,"[array(['213'], dtype=object)]","['경북 구미 방산혁inus 클러스터가 지원하는 예비창업자의 기간은 3년 이내입니다. 지원 대상 중에 명시되어 있습니다.'
 '3년以内']",business,{'dummy': None}
b411ea10-6f23-4d0c-9e98-4d5f762e514c,혁신제품 지정지원 사업의 지원 대상은 무엇인가요?,"[array(['185'], dtype=object)]","['혁신제품 지정지원 사업의 지원 대상은 창업 7년 이내의 스타트업입니다. 단, 중소기업창업지원법 제25조에 따라 신산업 분야의 창업 기업은 10년 이하로 지원이 가능합니다.'
 '창업 7년 이내 스타트업']",business,{'dummy': None}
56c76e25-4829-41dc-8e9e-b1d1ca52aaf4,안동시 기업 맞춤형 지원사업의 지원 대상은 무엇인가요?,"[array(['87'], dtype=object)]","['안동시 기업 맞춤형 지원사업의 지원 대상은 안동시에 주소지를 둔 7년 미만 창업기업입니다.'
 '안동시에 주소지를 둔 7년 미만 창업기업']",business,{'dummy': None}
14e90ec7-46ca-4275-b44a-61df85b7819a,청년 창업 지원 프로젝트의 지원 대상은 누구인가요?,"[array(['3'], dtype=object)]","['청년 창업 지원 프로젝트의 지원 대상은 관내 문화예술 분야 창업을 희망하는 청년(19세~39세)입니다.'
 '19세~39세의 문화예술 분야 창업을 희망하는 청년']",business,{'dummy': None}
8a0df1bd-74fb-4cb1-8d98-12a2352dd5d2,우수창업기업 집중지원사업의 지원 대상은 무엇인가요?,"[array(['588'], dtype=object)]","['우수창업기업 집중지원사업의 지원 대상은 창업(도약기) 3년 초과 7년 이내 기업입니다.'
 '창업(도약기) 3년 초과 7년 이내 기업']",business,{'dummy': None}
02d0e80e-ab8d-4675-9c33-c11dd8160dab,청년창업공모사업의 지원 대상은 무엇입니까?,"[array(['536'], dtype=object)]",['청년창업공모사업의 지원 대상은 만 19세~39세 이하의 청년예비창업가입니다.' '만 19세~39세 이하 청년예비창업가'],business,{'dummy': None}
295b1183-da09-4722-8a0e-677f2f1c3749,한국의 경기도 대학생 융합기술 창업지원 사업에서 지원 대상은 무엇인가요?,"[array(['597'], dtype=object)]","['한국의 경기도 대학생 융합기술 창업지원 사업의 지원 대상은 경기도 내 예비 또는 3년 이내 창업을 위한 대학(원)생 창업자들로, 최대 25팀까지 지원받을 수 있습니다.'
 '경기도 내 예비 또는 3년 이내 창업 대학(원)생 창업자 25팀']",business,{'dummy': None}
096bf51d-aab0-4a56-a690-cacdd4f03e9f,청년농업인 경쟁력제고사업의 지원 대상은 어떤 사람들을 포함하나요?,"[array(['369'], dtype=object)]","['청년농업인 경쟁력제고사업의 지원 대상은 만 18세 이상부터 39세 이하의 영농종사 청년농업인을 포함합니다.'
 '만 18세 이상 ~ 39세 이하의 영농종사 청년농업인']",business,{'dummy': None}
37ac6f4d-acfd-4f75-b6a1-73f1686fae8d,청년 예비창업자지원사업의 지원 대상은 무엇인가요?,"[array(['540'], dtype=object)]","['청년 예비창업자지원사업의 지원 대상은 평창군에 주소를 둔 만 39세 이하의 미취·창업 청년입니다.'
 '평창군에 주소를 둔 만 39세 이하 미취·창업 청년']",business,{'dummy': None}
85dc6a2f-5be7-4af9-8e07-1f0008aced52,딥테크 기업을 대상으로 하는 경북의 저력 딥테크부스터 프로그램의 지원 대상은 무엇인가요?,"[array(['73'], dtype=object)]","['딥테크 기업을 대상으로 하는 경북의 저력 딥테크부스터 프로그램의 지원 대상은 관내·역외 기업 중 투자유치를 희망하는 업력 3년 이내 딥테크 기업입니다.'
 '관내·역외 기업 중 투자유치를 희망하는 업력 3년 이내 딥테크 기업']",business,{'dummy': None}
4661494d-67a0-4da2-aeb3-d1493dc16d95,벤처기업 육성사업의 지원 대상은 무엇인가요?,"[array(['136'], dtype=object)]","['벤처기업 육성사업의 지원 대상은 제주도 내 사업장을 보유한 벤처기업 또는 창업 7년 이내 창업기업입니다.'
 '제주도 내 사업장을 보유한 벤처기업 또는 창업 7년 이내 창업기업']",business,{'dummy': None}
8bab9a80-8547-473b-938d-51985fffeee0,창업성장 지원사업의 지원 대상은 무엇인가요?,"[array(['557'], dtype=object)]",['창업성장 지원사업의 지원 대상은 안동시 관내 2년~7년 미만 기업입니다.' '안동시 관내 2년~7년 미만 기업'],business,{'dummy': None}
13eef061-5ce7-49c9-a553-4bae7df36a44,혁신공공기술 창업지원 사업의 지원 예산은 얼마인가요?,"[array(['438'], dtype=object)]","['혁신공공기술 창업지원 사업의 지원 예산은 총 560백만원입니다. 이 중 혁신기술 고도화 및 사업화 지원금은 280백만원이고, 공공기술 기획형 창업지원금也是中文回答，以下是关于问题的中文答案：\n\n支持预算总额为560万元。其中，创新技术高级化和商业化支持资金为280万元，公共技术创新型创业支持资金也为280万元。'
 '560백만원']",business,{'dummy': None}
84088a2f-50f7-419d-9c78-fb067b29e72a,"한국어 지원 프로그램의 예산은 얼마나 되나요?  
답변: 13.3억입니다.","[array(['596'], dtype=object)]",['질문: 한국어 지원 프로그램의 예산은 얼마나 되나요?\n답변: 한국어 지원 프로그램의 예산은 13.3억입니다.' '13.3억'],business,{'dummy': None}
38ae8f9c-1628-46d2-ad3d-93745311ffa4,콘텐츠 분야 초기 스타트업을 지원하기 위해 액셀러레이터와 연계한 지원 프로그램의 예산은 얼마인가요?,"[array(['164'], dtype=object)]",['콘텐츠 분야 초기 스타트업을 지원하기 위해 액셀러레이터와 연계한 지원 프로그램의 예산은 20.8억원입니다.' '20.8억원'],business,{'dummy': None}
fa15ec7d-5e73-4705-88ac-51ed93d0dc30,포항시 창업보육센터의 졸업 5년 이내 기업 지원 대상은 무엇인가요?,"[array(['83'], dtype=object)]",['포항시 창업보육센터(BI) 또는 창업지원기관 졸업 5년 이내 포항 소재기업이 지원 대상입니다.' '포항 소재기업'],business,{'dummy': None}
09816a1c-988e-456d-849e-0be8b908d314,대학 특화 청년 창업 활성화 지원 사업에서 지원 대상은 누구입니까?,"[array(['258'], dtype=object)]",['대학 특화 청년 창업 활성화 지원 사업의 지원 대상은 도내 청년 (예비)창업자입니다.' '도내 청년 (예비)창업자'],business,{'dummy': None}
678edb1f-7b99-4544-b08a-5c5ab338e4a5,특화창업패키지 지원 프로그램의 지원 대상은 무엇인가요?,"[array(['193'], dtype=object)]","['특화창업패키지 지원 프로그램의 지원 대상은 신산업 창업분야 스타트업이며, 업력이 10년 미만의 기업입니다.'
 '신산업 창업분야 스타트업(업력 10년 미만)']",business,{'dummy': None}
61ad0024-0e71-4b2c-bb25-6e1f25584cec,크라우드 펀딩 지원사업의 지원 대상은 무엇인가요?,"[array(['454'], dtype=object)]","['크라우드 펀딩 지원사업의 지원 대상은 경상남도 소재 본사, 연구소, 지사 등이 있는 7년 미만 창업기업입니다.'
 '경상남도 소재 본사, 연구소, 지사 등이 있는 7년 미만 창업기업']",business,{'dummy': None}
47e89fba-8ede-468d-8639-1515c3dd6b45,프로젝트 지원사업의 지원 대상은 무엇인가요?,"[array(['133'], dtype=object)]",['프로젝트 지원사업의 지원 대상은 제조업 기반 예비창업자입니다.' '제조업 기반 예비창업자'],business,{'dummy': None}
a39a101d-265c-4dab-91d7-909646e716a1,창업기업 판로개척 지원 사업의 지원 대상은 어떻게 되나요?,"[array(['516'], dtype=object)]","['창업기업 판로개척 지원 사업의 지원 대상은 부산 지역의 예비 청년창업자(만 34세 이하)입니다.'
 '부산 지역 예비 청년창업자(만 34세 이하)']",business,{'dummy': None}
6c360f31-38c1-4565-8b22-50f2bb731311,한국어로 거주지가 무안에 거주(예정)하는 청년들에게 지원되는 사업의 대상 연령은 얼마인가요?,"[array(['442'], dtype=object)]",['지원되는 사업의 대상 연령은 만 19세 ~ 39세 이하의 청년입니다.' '19세 ~ 39세'],business,{'dummy': None}
725ffbae-e453-48ae-86a5-5e6ed2098744,포항창조경제혁신센터의 지원 대상은 무엇인가요?,"[array(['276'], dtype=object)]","['포항창조경제혁신센터의 지원 대상은 벤처 및 중소기업(사업화 지원금-사업자 등록상 포항시 소재), 지역 (예비)창업자, 지역 대학(원)생, 창업에 관심있는 시민 등입니다.'
 '벤처 및 중소기업, 지역 예비 창업자, 지역 대학(원)생, 창업에 관심 있는 시민 등']",business,{'dummy': None}
a7fbad46-09b0-4ab8-996f-41bb4f5a8f07,"창업 테스트베드 실증 지원 사업의 지원 예산은 얼마인가요?  
답변: 지원 예산은 3,000백만원입니다.","[array(['365'], dtype=object)]","['질문: 창업 테스트베드 실증 지원 사업의 지원 예산은 얼마인가요?  \n답변: 창업 테스트베드 실증 지원 사업의 지원 예산은 3,000백만원입니다.'
 '3,000백만원']",business,{'dummy': None}
c305c4ea-83ed-40ef-8681-f6a78de38c26,울산창업 S 시리즈 지원 대상은 무엇인가요?,"[array(['30'], dtype=object)]","['울산창업 S 시리즈의 지원 대상은 울산 소재 또는 울산시 기업이전 예정인 기술기반의 예비 또는 7년 이내 창업기업입니다.'
 '울산소재 또는 울산시 기업이전 예정인 기술기반 예비 또는 7년 이내 창업기업']",business,{'dummy': None}
60e59482-bf28-4860-b38c-a985126a10b2,청년 소셜대로 창업성장 플러스 지원사업의 지원 대상은 무엇인가요?,"[array(['507'], dtype=object)]","['청년 소셜대로 창업성장 플러스 지원사업의 지원 대상은 창업 5년 이내 대구 지역 소재의 환경·공동체·고용 등 소셜미션을 추구하는 (예비)사회적기업, (사회적)협동조합, 마을기업, 자활기업, 소셜벤처기업 등 지역사회 문제해결 분야 기업이며, 만 39세 이하의 청년 기업입니다.'
 '만 39세 이하 대구 지역 소셜임팩트 청년 기업']",business,{'dummy': None}
f3b55e0e-c163-47e7-a6cd-0de3aa9314c4,디지털대장간의 지원 대상은 누구인가요?,"[array(['571'], dtype=object)]",['디지털대장간의 지원 대상은 만 19세 이상의 예비 창업자 또는 스타트업입니다.' '만 19세 이상 예비 창업자 또는 스타트업'],business,{'dummy': None}
c870338d-21a6-4468-924a-b1fe7ca52105,창업기업을 위한 마케팅 지원 사업의 지원 대상은 무엇인가요?,"[array(['25'], dtype=object)]",['창업기업을 위한 마케팅 지원 사업의 지원 대상은 7년 이내 창업기업입니다.' '7년 이내 창업기업'],business,{'dummy': None}
58b4a98d-1896-4181-8ae1-8148a0827a34,글로벌 성장 바우처 지원 프로그램의 지원 규모는 어떻게 되나요?,"[array(['183'], dtype=object)]","['글로벌 성장 바우처 지원 프로그램의 지원 규모는 S바우처 15개와 R바우처 30개로 구성되어 있습니다.'
 '수요-공급 매칭 구조로 S바우처 15개, R바우처 30개 지원']",business,{'dummy': None}
37ecd1f4-c807-4705-beda-a0cb11519ae0,청년창업농영농정착지원금의 지원 대상은 몇 살 이상부터 몇 살 미만인가요?,"[array(['474'], dtype=object)]",['청년창업농영농정착지원금의 지원 대상은 만 18세 이상 만 40세 미만의 청년농업인입니다.' '18세 이상 40세 미만'],business,{'dummy': None}
3c17aaaf-9b08-4af6-a42d-c65c9b4e7831,김해형 공동기술창업 지원센터의 지원 대상은 무엇인가요?,"[array(['105'], dtype=object)]","['김해형 공동기술창업 지원센터의 지원 대상은 기술창업 희망 예비창업자 또는 창업 7년 이내 기술창업기업입니다.'
 '기술�창업 희망 예비창업자 또는 창업 7년 이내 기술창업기업']",business,{'dummy': None}
675559b2-e864-46bf-b904-a51f9752356e,청년 창업·창직 지원사업의 지원 대상은 어떻게 되나요?,"[array(['64'], dtype=object)]",['청년 창업·창직 지원사업의 지원 대상은 충남 19~39세 이하 청년(예비)창업가입니다.' '19~39세 이하 청년(예비)창업가'],business,{'dummy': None}
3a981f87-a2db-48d2-aab4-7c9efeac439e,"농식품 분야 예비창업자에게 지원되는 사업화자금은 얼마인가요?  
답변: 농식품 분야 예비창업자에게 지원되는 사업화자금은 10백만원입니다.","[array(['491'], dtype=object)]","['질문: 농식품 분야 예비창업자에게 지원되는 사업화자금은 얼마인가요?  \n답변: 농식품 분야 예비창업자에게 지원되는 사업화자금은 10백만원입니다.'
 '10백만원']",business,{'dummy': None}
8d066e9d-6c3a-4eea-ad54-32d2dbb19e8c,벤처확인 인증을 목표로 하는 기업 중 신청 자격이 있는 기업은 어떤 기업입니까?,"[array(['111'], dtype=object)]","['벤처확인 인증을 목표로 하는 기업 중 신청 자격이 있는 기업은 다음과 같습니다:\n\n- 2026년 벤처확인 인증을 목표로 하는 기업\n- 기존 벤처컨설팅을 받아봤지만 부족함을 느낀 기업\n- 창업 후 3년이 되어가는 기업\n\n이러한 기업들은 일반기업으로 분류되며, 지원 지역은 전국이며, 지원 분야는 멘토링, 컨설팅, 교육에 해당합니다.'
 '- 2026년 벤처확인인증을 목표로 하는 기업\n- 기존 벤처컨설팅을 받아봤지만 부족함을 느낀 기업\n- 창업 후 3년이 되어가는 기업']",announcements,{'dummy': None}
f85032da-e55d-4d5d-8bb0-5725c319b82a,서울소셜벤처허브 CES 2026 서울통합관의 지원 분야는 무엇입니까?,"[array(['420'], dtype=object)]",['서울소셜벤처허브 CES 2026 서울통합관의 지원 분야는 판로ㆍ해외진출입니다.' '판로ㆍ해외진출'],announcements,{'dummy': None}
25288ebc-bd26-4590-90dd-f2d1e124cc2d,"예비창업자의 신청 가능 연령은 얼마부터 몇歲止？

（注：将“세”翻译为“岁”，以适应中文表达习惯。）","[array(['566'], dtype=object)]",['預備創業者的申請可能年齡從20歲以下開始，到39歲以下止。' '20岁到39岁'],announcements,{'dummy': None}
2f77b870-4df5-4d8c-a93c-a2485e851c96,1월에 강동구 청년해냄센터에서 제공하는 상시 컨설팅의 지원 분야는 무엇입니까?,"[array(['78'], dtype=object)]","['1월에 강동구 청년해냄센터에서 제공하는 상시 컨설팅의 지원 분야는 멘토링, 컨설팅, 교육입니다.' '멘토링ㆍ컨설팅ㆍ교육']",announcements,{'dummy': None}
65a1a0e9-eac1-4cc2-8d3b-cb52dce55a3e,서초창업스테이션에서 제공하는 12월 1:1 전문 분야 컨설팅의 지원 지역은 어디입니까?,"[array(['182'], dtype=object)]",['서초창업스테이션에서 제공하는 12월 1:1 전문 분야 컨설팅의 지원 지역은 전국입니다.' '전국'],announcements,{'dummy': None}
091cc797-42d7-46f4-b601-72ceef821340,지원 지역은 어디입니까?,"[array(['285'], dtype=object)]",['지원 지역은 충북입니다.' '충북'],announcements,{'dummy': None}
ad59b0e3-e190-49a1-a82b-617d367cf296,"메이ker 장비 이용 교육을 받고 싶은 대상자는 누구입니까? 

답변: 메이ker 장비를 활용하여 시제품 제작을 원하는 스타트업/예비창업자/기업이 대상입니다.","[array(['11'], dtype=object)]","['메이커 장비 이용 교육을 받고 싶은 대상자는 메이커 장비를 활용하여 시제품 제작을 원하는 스타트업/예비창업자/기업입니다.'
 '메이커장비를 활용하여 시제품 제작을 원하는 스타트업/예비창업자/기업']",announcements,{'dummy': None}
104f3ec3-66e9-46c6-b47b-634123a80796,RIST 첨단제조인큐베이팅센터의 지원 지역은 어디입니까?,"[array(['470'], dtype=object)]",['RIST 첨단제조인큐베이팅센터의 지원 지역은 전국입니다.' '전국'],announcements,{'dummy': None}
f6089e77-7e11-449e-a1f3-2623206e6959,캠퍼서핑챌린지에서 지원할 수 있는 대상 연령은 무엇인가요?,"[array(['79'], dtype=object)]",['캠퍼서핑챌린지에서 지원할 수 있는 대상 연령은 만 20세 이상 ~ 만 39세 이하입니다.' '만 20세 이상 ~ 만 39세 이하'],announcements,{'dummy': None}
dcbb829b-5709-4fb8-abfa-5c5f896d19de,워크넥트(WorkNect)는 언제 마지막 일정을 갖나요?,"[array(['350'], dtype=object)]","['워크넥트(WorkNect)의 마지막 일정은 11월입니다. 구체적인 날짜는文本翻译：\n根据提供的文本，WorkNect 的最后一场活动在11月举行。具体日期是2025年11月21日（周五）10点截止申请。\n\nAnswer: WorkNect 的最后一场活动在 2025 年 11 月 21 日（星期五）举行。'
 '11월']",announcements,{'dummy': None}
0a1e9606-fefe-4acb-a1fa-9e00a4fc03af,2026년 스타트업 및 중소기업 기업성장 및 홍보 지원사업의 지원 지역은 어디입니까?,"[array(['56'], dtype=object)]",['2026년 스타트업 및 중소기업 기업성장 및 홍보 지원사업의 지원 지역은 전국입니다.' '전국'],announcements,{'dummy': None}
316272c0-4d66-4c83-a1b2-002c90a229e0,서대문청년창업센터에서 모집하는 입주기업의 지원 분야는 무엇인가요?,"[array(['119'], dtype=object)]",['서대문청년창업센터에서 모집하는 입주기업의 지원 분야는 시설ㆍ공간ㆍ보육입니다.' '시설ㆍ공간ㆍ보육'],announcements,{'dummy': None}
3d77ba6c-5659-49d8-8713-7c483f6452d1,실전창업아카데미 성과보고회 및 네트워킹 행사를 주최하는 기관은 무엇입니까?,"[array(['110'], dtype=object)]","['실전창업아카데미 성과보고회 및 네트워킹 행사를 주최하는 기관은 마포청년창업취업지원센터 나루입니다.'
 '마포청년창업취업지원센터 나루']",announcements,{'dummy': None}
65dbdc83-a6c7-4840-9996-abc3b9a66191,창업육성 프로그램에 지원할 수 있는 지역은 어디입니까?,"[array(['589'], dtype=object)]",['지원 지역은 전국입니다.' '전국'],announcements,{'dummy': None}
7eaacc17-b62a-4907-a155-f81784efaaad,멘토링 센터가 지원하는 분야는 무엇입니까?,"[array(['370'], dtype=object)]","['멘토링 센터가 지원하는 분야는 멘토링, 컨설팅, 교육입니다.' '멘토링ㆍ컨설팅ㆍ교육']",announcements,{'dummy': None}
00cfb0f3-885c-4b15-8a9c-8116f4c00a7e,숭실대학교 캠퍼스타운 신규 입주기업 모집 공고에서 지원 가능한 창업 기간은 몇 년 미만인가요?,"[array(['235'], dtype=object)]",['숭실대학교 캠퍼스타운 신규 입주기업 모집 공고에서 지원 가능한 창업 기간은 7년 미만입니다.' '7년미만'],announcements,{'dummy': None}
87bbedda-853e-4278-9e98-cbbf3911b0d9,2026년 충청남도에서 생활업종 창업 예정인 청년 예비창업자의 나이 조건은 무엇인가요?,"[array(['31'], dtype=object)]","['2026년 충청남도에서 생활업종 창업 예정인 청년 예비창업자의 나이 조건은 공고일 기준 19세 이상 39세 이하입니다.'
 '19세 이상 39세 이하']",announcements,{'dummy': None}
b126f79e-12a5-4af3-ba05-12911ae22d1d,신규 입주기업 모집 공고에서 지원 가능한 창업 기간은 얼마인가요?,"[array(['213'], dtype=object)]","['신규 입주기업 모집 공고에서 지원 가능한 창업 기간은 창업 7년 이내입니다. 예비창업자는 입주 후 3개월 이내에 사업자 등록이 가능해야 합니다.'
 '7년 미만']",announcements,{'dummy': None}
feca5fd6-d43d-4572-aed8-27285440a521,2025년 남구다운 청년 창업 지원사업에서 지원 대상 중 예비창업자의 정의는 무엇인가요?,"[array(['185'], dtype=object)]","['2025년 남구다운 청년 창업 지원사업에서 예비창업자의 정의는 대구 남구에서 창업을 희망하는 청년 예비창업자(팀)입니다.'
 '대구 남구에서 창업을 희망하는 청년 예비창업자(팀)']",announcements,{'dummy': None}
4f670346-76a4-4b61-a929-2c9e978c294b,창업존 운영사업을 주관할 수 있는 기관은 어떤 기관입니까?,"[array(['87'], dtype=object)]","['창업존 운영사업을 주관할 수 있는 기관은 창업기업을 지원할 수 있는 역량 및 인프라를 보유한 기관(단체)입니다. 특히, 공고에서는 우수한 인적, 물적 인프라 및 네트워크를 갖춘 기관이 주관 기관으로 선정될 가능성이 높습니다.'
 '창업기업을 지원할 수 있는 역량 및 인프라를 보유한 기관(단체)']",announcements,{'dummy': None}
9c602426-76f4-4161-8ad2-a077d3c516aa,2026년 2월 창업아카데미는 어떤 대상에게 지원할 수 있습니까?,"[array(['3'], dtype=object)]","['2026년 2월 창업아카데미는 충청남도 소재 중소기업·소상공인 및 예비창업자에게 지원할 수 있습니다. 또한, 신청 대상에는 대학생, 일반인, 대학, 연구기관, 일반기업, 1인 창조기업도 포함되어 있으며, 대상 연령은 만 20세 이상 ~ 만 39세 이하와 만 40세 이상까지의 예비창업자를 대상으로 합니다.'
 '충청남도 소재 중소기업·소상공인 및 예비창업자']",announcements,{'dummy': None}
ad0bf7fc-b314-4c49-b5cd-2552445443c2,초보 사장님을 위한 '실패하지 않는 앱/플랫폼 개발' 특강에서는 어떤 주제를 다루나요?,"[array(['588'], dtype=object)]","[""초보 사장님을 위한 '실패하지 않는 앱/플랫폼 개발' 특강에서는 다음과 같은 주제들을 다룹니다.\n\n- 왜 대부분의 앱 개발은 실패하는지에 대한 대표적인 실패 사례와 첫 단추의 중요성\n- MVP 개념과 기능 명세서 작성법, 로그인 설계의 중요성\n- 대표와 개발자의 역할 분리 및 모호한 요구사항을 명확히 정의하는 방법\n- 데이터 수집과 서버 비용, 유지보수의 중요성에 따른 안정적 서비스 운영 방법""
 '코딩보다 중요한 설계도의 힘, 개발자와의 소통 방법, 보이지 않는 개발']",announcements,{'dummy': None}
03137cec-fc17-4cf2-914a-bc7c0dcec985,K+별별상상 스타트업 챌린지의 지원 대상은 누구입니까?,"[array(['536'], dtype=object)]","['K+별별상상 스타트업 챌린지의 지원 대상은 전국의 대학생 및 대학원생 누구나입니다. 또한, 창업 기간은 예비창업자, 1년 미만, 2년 미만, 3년 미만의 예비창업자 또는 초기 창업자들을 지원하며, 대상 연령은 만 20세 미만, 만 20세 이상 ~ 만 39세 이하, 만 40세 이상까지 포함됩니다.'
 '전국의 대학생 및 대학원생']",announcements,{'dummy': None}
