doc_id,contents,data_type,metadata
11,"[교육안내]서울용산시제품제작소 메이커 장비교육 일정 및 신청_1월
지원 분야: 시설ㆍ공간ㆍ보육
지원 지역: 전국
신청 대상(요약): 청소년,대학생,일반인,대학,연구기관,일반기업,1인 창조기업
신청 대상(상세): 메이커장비를 활용하여 시제품 제작을 원하는 스타트업/예비창업자/기업
신청 제외 대상: 영리를 목적으로 하는 자
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만
대상 연령: 만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 서울용산시제품제작소에서 예비창업자, 스타트업, 기업을 대상으로 2026년 월별 메이커 장비이용교육생을 모집합니다.
모집 진행 여부: Y
모집 주체: 서울용산시제품제작소
주관 기관: 민간
담당 부서: 서울용산시제품제작소",announcements,{'dummy': None}
12,"[전통시장육성재단] 청년상인 AI활용 역량강화 교육과정 권역별 참가자 모집
지원 분야: 멘토링ㆍ컨설팅ㆍ교육
지원 지역: 전국
신청 대상(요약): 일반인,일반기업,1인 창조기업
신청 대상(상세): -전통시장 및 상점가 인정구역 내 만39세 이하 청년상인 ​총 60명 (각 권역별 15명 내외) *인정구역 해당 여부는 사업자 소재지에 해당하는 지자체 담당자를 통해 확인할 수 있습니다.
신청 제외 대상: (※조건 관련 문의 후 접수 가능)
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만
대상 연령: 만 20세 이상 ~ 만 39세 이하
공고 내용: 청년상인들의 디지털 전환 역량 강화를 위해 AI기술을 매장 운영(마케팅·상품기획·고객관리 등)에 직접 활용할 수 있도록 실습 중심 교육을 진행할 예정 입니다. ※상세 내용 및 신청서는 공고문을 참조하여 주시기를 바랍니다. 관심있는 소상공인 분들의 많은 참여 부탁드립니다.
모집 진행 여부: Y
모집 주체: 전통시장육성재단
주관 기관: 민간
담당 부서: 지역사업 3팀",announcements,{'dummy': None}
13,"수성구 1인 창조기업 지원센터 &apos;26년도 입주기업 모집공고
지원 분야: 시설ㆍ공간ㆍ보육
지원 지역: 대구
신청 대상(요약): 1인 창조기업
신청 대상(상세): ❍ 거주지 : 공고일 기준 주민등록상 대구광역시에 거주하는 자(수성구 우대) ※ 입주기간 동안 주민등록 주소지를 대구광역시에 유지해야 함 ❍ 자 격 - 우수한 창업아이템을 보유하고 창업 의지가 강한 자 - 1인 창업을 희망하는 자로 창의적 아이디어, 기술, 전문지식을 가진 자 - 공고일 기준 예비창업자 또는 창업 후 3년 미만 창업자(사업자등록증 기준) ※ 예비창업자의 경우 입주 후 6개월 이내 사업자등록을 해야 함
신청 제외 대상: ❍ 신청제외 대상 - 국세·지방세 체납자 또는 법인 - 건강보험 직장(타 사업장) 가입자 - 중소벤처기업부 지정 1인 창조기업 지원센터 기 입주 수혜자 - 기타 수성구청장이 참여 제한의 사유가 있다고 인정하는 자
창업 기간 조건: 예비창업자,3년미만
대상 연령: 만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 대구광역시 수성구가 주관하고 수성대학교 산학협력단 참여하여 운영하는 수성구 1인 창조기업 지원센터 신규 입주기업을 모집하고자 하오니, 많은 참여 바랍니다.
모집 진행 여부: Y
모집 주체: 수성구 1인 창조기업 지원센터
주관 기관: 교육기관
담당 부서: 수성구 1인 창조기업 지원센터",announcements,{'dummy': None}
14,"2026 협성대학교 창업보육센터 상반기 신규 입주기업 모집 공고
지원 분야: 시설ㆍ공간ㆍ보육
지원 지역: 경기
신청 대상(요약): 청소년,대학생,일반인,대학,연구기관,일반기업,1인 창조기업
신청 대상(상세): - 창업 후 7년 이내 중소기업 1) 사업개시일 : 법인등기일(법인), 사업자등록일(개인) 2) 입주조건 : 사업자등록증 내 본점을 협성대학교 창업보육센터로 지정 - 예비 창업자 1) 입주조건 : 입주 후 6개월 이내 협성대학교 창업보육센터를 본점으로 사업자 등록
신청 제외 대상: 중소기업창업 지원법 시행령 제4조에 해당되는 경우 1. 일반유흥주점업 2. 무도유흥주점업 3. 기타 사행시설 관리 및 운영업 4. 제1호부터 제3호까지의 규정에 준하는 업종으로서 중소벤처기업부령으로 정하는 업종
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만
대상 연령: 만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 협성대학교 창업보육센터에서는 창업자 및 예비창업자에게 안정적인 창업 활동을 위한 공간 제공 및 창업 초기 기업의 지속 성장 기여를 위해 다음과 같이 신규 입주기업 및 예비창업자를 모집하오니 많은 관심과 참여 바랍니다.
모집 진행 여부: Y
모집 주체: 협성대학교 창업보육센터
주관 기관: 교육기관
담당 부서: 창업보육센터",announcements,{'dummy': None}
15,"2026년 전남 IP창업Zone 1기 교육생 모집
지원 분야: 멘토링ㆍ컨설팅ㆍ교육
지원 지역: 전국
신청 대상(요약): 청소년,대학생,일반인,대학,연구기관,일반기업,1인 창조기업
신청 대상(상세): 예비창업자 및 초기창업자
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만
대상 연령: 만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 전남 도내 창의적 아이디어를 발굴하고 이를 , 지식재산 권리화 및 사업화로 연계하여 지역 경제 활성화에 기여하기 위해 아래와 같이 2025년 전남 IP창업Zone 5기 교육과정을 운영하오니, 많은 관심과 참여 바랍니다.
모집 진행 여부: Y
모집 주체: 전남테크노파크
주관 기관: 공공기관
담당 부서: 기업진흥본부 전남지식재산센터",announcements,{'dummy': None}
16,"북부여성창업보육센터 신규 입주기업 모집(2026년 1차)
지원 분야: 시설ㆍ공간ㆍ보육
지원 지역: 전국
신청 대상(요약): 대학생,일반인
신청 대상(상세): 여성(예비)창업자 또는 사업개시일 기준 창업 7년 이내 여성창업자 - 전도유망한 사업 아이템 소유자로 비즈니스 마인드를 가진 자 - 서울특별시여성인력개발기관 수료생, 여성장애인, 저소득층 등 취약계층 우대 - 기 창업자의 경우 입주 후 2주 이내 사업장의 본점 주소를 본 센터로 변경 가능한 자 - 점포형 창업보육실 입주 신청은 예비 창업자만 가능
신청 제외 대상: ※ 대표는 남성 불가, 팀원은 가능
창업 기간 조건: 예비창업자
대상 연령: 만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 서울시 북부여성창업보육센터에서는 우수한 창업아이템을 보유한 여성(예비)창업자를 다음과 같이 모집하오니 관심 있는 분들의 많은 신청 바랍니다.
모집 진행 여부: Y
모집 주체: 서울시북부여성발전센터
주관 기관: 공공기관
담당 부서: 서울시북부여성창업보육센터",announcements,{'dummy': None}
17,"동국대학교 BMC창업보육센터(고양)신규 입주기업 모집공고(2026년 1차)
지원 분야: 시설ㆍ공간ㆍ보육
지원 지역: 경기
신청 대상(요약): 대학생,일반인,대학,연구기관,일반기업,1인 창조기업
신청 대상(상세): ○ 우수한 기술 또는 아이템을 보유한 예비창업자 또는 창업 7년 이내 초기 창업기업 - 공고일 기준이며, 예비창업자는 입주 후 3개월 이내 사업자 등록 가능자 ○ 입주 확정 시, 본점 소재지를 창업보육센터로 이전 가능한 기업 - 단, 사업자의 시설을 활용하거나 공동연구를 위해 기업부설연구소 또는 연구개발전담부서(지사)가 입주하는 경우는 본사가 입주한 것으로 간주한다.
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만
대상 연령: 만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 동국대학교 BMC 창업보육센터에서는 동국 블루칩으로써 성장과 발전을 함께 도모할 (예비)창업기업을 발굴 및 육성하기 위해 신규 입주기업 모집 공고를 진행하오니 입주를 희망하는 기업은 아래 공고를 참고하여 신청해 주시기 바랍니다.
모집 진행 여부: Y
모집 주체: 동국대학교 BMC창업보육센터
주관 기관: 교육기관
담당 부서: BMC창업보육센터",announcements,{'dummy': None}
18,"[글로컬대학] Station C 2026-1차 성장단계별 시장검증형 전주기 지원사업 공고
지원 분야: 사업화
지원 지역: 전국
신청 대상(요약): 일반기업
신청 대상(상세): - 지역창업기업 : 춘천 지역 사업자등록 예정 예비창업자 또는 창업기업 (업력 7년 이내 창업기업) ※ 예비창업자의 경우 협약 종료 3개월 이전 춘천지역으로 사업자 등록 완료 - 이전창업기업 : 타지역 사업자로 공고일 이후 춘천 지역으로 지역 이전을 하였거나 예정인 창업기업 (업력 10년 이내 기업 포함) ※ 조건 : 협약 후 6개월 이내까지 춘천지역 기업 이전 완료 - 투자연계기업 : 춘천 지역 창업기업으로 Station C 연계 투자자금을 유치한 기업 (업력 7년 이내 창업기업) - TIPS발굴추천기업 : Station C TIPS 발굴지원 사업에 따라 지원하는 TIPS 운영사가 발굴한 기업으로 추천을 받은 기업
신청 제외 대상: ① 금융기관 등으로부터 채무불이행으로 규제 중인 자(기업) ② 국세 또는 지방세 체납 중인 자(기업) ③ Station C 지원 사업에서 발생한 환수금 등의 반환이 종결되지 않은 자(기업) ④ 「중소기업창업 지원법 시행령」 제4조(창업에서 제외되는 업종)의 업종을 영위하고 있거나 영위하고자 하는 자(기업) ⑤ 2026년 G-스타트업 지원사업과 동시수행(협약체결) 불가 ⑥ 중소벤처기업부 창업지원사업에 참여 제한으로 제재 중인 자(기업) ⑦ 「근로기준법」에 따라 고용노동부가 공개하는 체불사업주 명단에 포함된 자(기업) ⑧ 「보조금 관리에 관한 법률」 제31조의2(보조사업 수행 배제 등)에 따라 수행 대상 에서 배제된 자(기업) ⑨ 중소벤처기업부 또는 강원특별자치도, 춘천시 지원사업 참여제한 제재 중이거나 참여를 제한할 정당한 사유가 있다고 인정하는 경우
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만
대상 연령: 만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 한림대학교 창업지원본부는 성장 가능성을 보유한 유망 창업기업을 발굴하여, 사전 진단부터 시장 검증, 후속 투자 연계까지 전주기적으로 지원하는 「2026-1차 성장단계별 시장검증형 전주기 지원사업」에 참여할 창업기업을 다음과 같이 모집하오니, 많은 관심과 도전바랍니다.
모집 진행 여부: Y
모집 주체: 한림대학교 창업지원본부장
주관 기관: 교육기관
담당 부서: 창업지원본부",announcements,{'dummy': None}
19,"레이저커팅기 장비교육
지원 분야: 창업교육
지원 지역: 서울
신청 대상(요약): 청소년,대학생,일반인,대학,연구기관,일반기업,1인 창조기업
신청 대상(상세): 예비창업자 및 7년이내 초기 창업자
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만
대상 연령: 만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: CO2레이저커팅기에 관심있는 분들께서는 많은 신청바랍니다
모집 진행 여부: Y
모집 주체: 서울과학기술대학교
주관 기관: 교육기관
담당 부서: 창업지원단",announcements,{'dummy': None}
20,"SLA 3D프린터 장비교육
지원 분야: 창업교육
지원 지역: 서울
신청 대상(요약): 청소년,대학생,일반인,대학,연구기관,일반기업,1인 창조기업
신청 대상(상세): 예비창업자 및 7년이내 초기창업자
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만
대상 연령: 만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: SLA 3D프린터 장비교육에 관심있는 분들께서는 많은 신청 부탁드립니다.
모집 진행 여부: Y
모집 주체: 서울과학기술대학교
주관 기관: 교육기관
담당 부서: 창업지원단",announcements,{'dummy': None}
21,"[동의대학교] 도심형 청년 창업,주거 복합공간 입주기업 모집
지원 분야: 시설ㆍ공간ㆍ보육
지원 지역: 부산
신청 대상(요약): 대학생,일반인,대학,연구기관,일반기업,1인 창조기업
신청 대상(상세): 입주 후 6개월 이내 창업이 가능한 39세 이하 예비창업자 또는 창업 7년 이내의 중소기업
신청 제외 대상: 1. 폐수·소음·진동 등 공해유발기업, 금융기관으로부터 금융신용불량자로 분류된 자, 휴·폐업중인 기업 2. 본 센터 운영(심사)위원회에서 부적합하다고 인정하는 기업
창업 기간 조건: 예비창업자,7년미만
대상 연령: 만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 동의대학교 창업보육센터에서는 (부산진구 창업가꿈) 도심형 청년 창업,주거 복합공간 입주기업을 모집하고 있습니다. 관심 있는 (예비)창업자의 많은 관심 부탁드립니다.
모집 진행 여부: Y
모집 주체: 동의대학교 산학협력단 창업보육센터
주관 기관: 교육기관
담당 부서: 창업보육센터",announcements,{'dummy': None}
22,"[서초창업스테이션] 사업계획서&IR자료 제작 통합 프로그램
지원 분야: 멘토링ㆍ컨설팅ㆍ교육
지원 지역: 전국
신청 대상(요약): 대학생,일반인,대학,연구기관,일반기업,1인 창조기업
신청 대상(상세): 사업계획서 및 IR자료 제작을 희망하는 예비 및 초기창업자 *서초구 거주자, 서초구 소재 기업 우대
신청 제외 대상: ◦ 구체적인 아이템 및 사업계획을 보유하지 않은 예비 창업자 ◦ 중소기업 창업지원법 시행령 제4조 * 의 창업제외 업종 예정자 * 일반유흥주점업, 무도유흥주점업, 기타 사행시설 관리 및 운영업 등에 준하는 업종
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만
대상 연령: 만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 서초창업스테이션에서는 '사업계획서&IR자료 제작 통합프로그램'에 참여할 아이템/사업계획을 보유한 예비/초기 창업자를 모집하고 있습니다.
모집 진행 여부: Y
모집 주체: 서초창업스테이션
주관 기관: 지자체
담당 부서: 서초창업스테이션",announcements,{'dummy': None}
